epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,828.486,0.46057,0.32543,0.89489,0.83606,0.8265,0.88752,0.67299,0.81454,0.61148,1.12029,0.0094654,0.0094654,0.0094654
56,842.565,0.46316,0.32227,0.89479,0.88973,0.79747,0.88125,0.66665,0.73291,0.5972,1.04455,0.0094555,0.0094555,0.0094555
57,856.513,0.45817,0.32219,0.89748,0.86961,0.78749,0.8641,0.65169,0.74041,0.56062,1.05362,0.0094456,0.0094456,0.0094456
58,870.195,0.46161,0.33574,0.89485,0.86012,0.84881,0.89994,0.65458,0.98578,0.56942,1.17123,0.0094357,0.0094357,0.0094357
59,884.95,0.4703,0.34267,0.90261,0.90353,0.83563,0.90405,0.67755,0.81736,0.60412,1.11292,0.0094258,0.0094258,0.0094258
60,898.746,0.47093,0.32997,0.8928,0.88862,0.84204,0.89487,0.67868,0.82483,0.532,1.10419,0.0094159,0.0094159,0.0094159
61,912.811,0.45191,0.321,0.89258,0.83712,0.85292,0.89221,0.67427,0.89298,0.618,1.13113,0.009406,0.009406,0.009406
62,927.043,0.46124,0.31237,0.89968,0.87148,0.86185,0.91058,0.66858,0.82575,0.54285,1.12162,0.0093961,0.0093961,0.0093961
63,940.547,0.45568,0.31771,0.8953,0.86858,0.83536,0.86916,0.65595,0.88263,0.66375,1.12865,0.0093862,0.0093862,0.0093862
64,953.917,0.44413,0.31653,0.88869,0.91668,0.78007,0.88711,0.67644,0.86805,0.56895,1.1367,0.0093763,0.0093763,0.0093763
65,967.713,0.46346,0.32891,0.89627,0.91764,0.77625,0.88662,0.67841,0.81171,0.56069,1.11141,0.0093664,0.0093664,0.0093664
66,981.026,0.45371,0.31401,0.89309,0.8831,0.89617,0.92113,0.6663,0.88116,0.55996,1.12933,0.0093565,0.0093565,0.0093565
67,994.618,0.45034,0.31821,0.88944,0.8564,0.79246,0.86952,0.66791,0.77317,0.57005,1.08022,0.0093466,0.0093466,0.0093466
68,1007.84,0.4652,0.32763,0.89719,0.82708,0.79213,0.85553,0.6517,0.81195,0.61751,1.10737,0.0093367,0.0093367,0.0093367
69,1021.22,0.45364,0.31688,0.89205,0.91171,0.83279,0.886,0.66046,0.81561,0.4762,1.11376,0.0093268,0.0093268,0.0093268
70,1034.46,0.45039,0.30811,0.88804,0.88099,0.83173,0.89698,0.67418,0.83668,0.572,1.10866,0.0093169,0.0093169,0.0093169
71,1047.96,0.45198,0.3152,0.89174,0.84835,0.83914,0.89805,0.67519,0.82952,0.53604,1.13439,0.009307,0.009307,0.009307
72,1061.49,0.44139,0.31682,0.88737,0.78854,0.83606,0.86984,0.66761,0.84627,0.64458,1.12948,0.0092971,0.0092971,0.0092971
73,1075.15,0.44962,0.31579,0.88819,0.81718,0.82526,0.84451,0.65353,0.81217,0.57578,1.10966,0.0092872,0.0092872,0.0092872
74,1088.53,0.44411,0.30771,0.8976,0.88857,0.83396,0.88681,0.67348,0.85228,0.52233,1.13674,0.0092773,0.0092773,0.0092773
75,1102.09,0.45391,0.31724,0.89222,0.87082,0.75721,0.8532,0.66296,0.85842,0.58784,1.11629,0.0092674,0.0092674,0.0092674
76,1115.46,0.44912,0.31436,0.88554,0.87597,0.77126,0.86277,0.68183,0.79565,0.59173,1.10568,0.0092575,0.0092575,0.0092575
77,1128.94,0.44629,0.31693,0.88707,0.86582,0.82102,0.86788,0.65325,0.82405,0.62866,1.12039,0.0092476,0.0092476,0.0092476
78,1142.29,0.43774,0.31317,0.88692,0.81623,0.82971,0.86078,0.65199,0.88849,0.59039,1.13448,0.0092377,0.0092377,0.0092377
79,1155.76,0.43701,0.31047,0.88511,0.859,0.80151,0.82941,0.63102,0.89819,0.61641,1.14805,0.0092278,0.0092278,0.0092278
80,1170.46,0.43679,0.31514,0.89062,0.82784,0.82544,0.88167,0.66694,0.78613,0.55007,1.08864,0.0092179,0.0092179,0.0092179
81,1183.89,0.43793,0.31016,0.88061,0.83096,0.80072,0.87387,0.66252,0.77216,0.63039,1.10855,0.009208,0.009208,0.009208
82,1197.47,0.43967,0.30208,0.88883,0.85563,0.84163,0.90619,0.68434,0.84612,0.63662,1.1269,0.0091981,0.0091981,0.0091981
83,1210.9,0.43996,0.30581,0.88648,0.86122,0.84442,0.87423,0.6597,0.84517,0.59922,1.13227,0.0091882,0.0091882,0.0091882
84,1224.23,0.43778,0.305,0.88272,0.82432,0.85556,0.89272,0.67786,0.84508,0.5734,1.10415,0.0091783,0.0091783,0.0091783
85,1239.21,0.43916,0.30954,0.88187,0.83659,0.81654,0.86602,0.68427,0.80342,0.61232,1.0898,0.0091684,0.0091684,0.0091684
86,1254,0.43898,0.31914,0.8832,0.85823,0.78583,0.86651,0.67362,0.76404,0.53574,1.11297,0.0091585,0.0091585,0.0091585
87,1268.15,0.44099,0.30715,0.88514,0.88069,0.82917,0.86314,0.6814,0.82869,0.53488,1.09907,0.0091486,0.0091486,0.0091486
88,1281.95,0.43347,0.3038,0.88794,0.84344,0.82226,0.85553,0.64154,0.80203,0.60505,1.10257,0.0091387,0.0091387,0.0091387
89,1296.36,0.45029,0.31866,0.88973,0.87938,0.79882,0.87501,0.67216,0.77182,0.6418,1.1055,0.0091288,0.0091288,0.0091288
90,1309.86,0.44497,0.31295,0.88321,0.8752,0.85471,0.88601,0.67703,0.84871,0.5046,1.13745,0.0091189,0.0091189,0.0091189
91,1323.3,0.43756,0.30473,0.88803,0.87722,0.84392,0.89365,0.66808,0.8539,0.49533,1.08466,0.009109,0.009109,0.009109
92,1336.97,0.43269,0.30494,0.88795,0.83538,0.86217,0.8832,0.67354,0.79074,0.54534,1.11609,0.0090991,0.0090991,0.0090991
93,1350.83,0.43057,0.30931,0.88212,0.8173,0.81118,0.85513,0.67678,0.774,0.54346,1.14599,0.0090892,0.0090892,0.0090892
