epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1131.36,0.58003,0.38267,0.92392,0.53973,0.52889,0.52529,0.2963,1.0468,4.20136,1.18203,0.0093268,0.0093268,0.0093268
70,1146.56,0.57128,0.38094,0.91958,0.57983,0.54222,0.5338,0.3284,1.08411,4.15198,1.21902,0.0093169,0.0093169,0.0093169
71,1161.89,0.5763,0.38523,0.92038,0.59662,0.53333,0.54324,0.32616,1.14316,4.21157,1.1887,0.009307,0.009307,0.009307
72,1183.7,0.56571,0.37015,0.91621,0.57683,0.47598,0.54411,0.28325,1.06125,4.12692,1.1891,0.0092971,0.0092971,0.0092971
73,1206.34,0.57294,0.37384,0.91676,0.5439,0.55902,0.5648,0.32285,0.97984,4.12994,1.17412,0.0092872,0.0092872,0.0092872
74,1221.63,0.5611,0.37099,0.91238,0.53367,0.53426,0.53801,0.31346,0.98151,3.96713,1.20139,0.0092773,0.0092773,0.0092773
75,1237.26,0.56163,0.3726,0.91308,0.58975,0.51116,0.54438,0.31297,1.07347,4.10521,1.21202,0.0092674,0.0092674,0.0092674
76,1254.5,0.56054,0.36806,0.91553,0.54466,0.50186,0.5563,0.32192,1.09647,4.1679,1.19132,0.0092575,0.0092575,0.0092575
77,1270.35,0.5546,0.37108,0.91809,0.56659,0.54222,0.54326,0.31979,1.03381,3.94672,1.17806,0.0092476,0.0092476,0.0092476
78,1285.85,0.56918,0.38215,0.92225,0.55958,0.59406,0.56665,0.32188,1.04942,4.07496,1.18681,0.0092377,0.0092377,0.0092377
79,1301.34,0.55513,0.36523,0.91146,0.56679,0.50507,0.54136,0.31517,1.05721,4.06306,1.17515,0.0092278,0.0092278,0.0092278
80,1316.31,0.55394,0.35998,0.92035,0.59474,0.52452,0.56197,0.30425,1.06044,4.11714,1.18028,0.0092179,0.0092179,0.0092179
81,1331.17,0.55578,0.36479,0.90959,0.53147,0.53389,0.55564,0.32885,0.95593,4.07106,1.15049,0.009208,0.009208,0.009208
82,1347.52,0.55584,0.35896,0.91482,0.58739,0.49333,0.56025,0.33278,1.05635,3.91994,1.18342,0.0091981,0.0091981,0.0091981
83,1362.93,0.54185,0.3538,0.91376,0.54493,0.51111,0.53949,0.30638,1.13306,4.15219,1.21527,0.0091882,0.0091882,0.0091882
84,1378.41,0.54488,0.35442,0.90614,0.55449,0.56359,0.56328,0.314,1.01369,4.19095,1.1909,0.0091783,0.0091783,0.0091783
85,1399.67,0.55252,0.36365,0.91381,0.5949,0.53935,0.55756,0.32149,0.9506,4.036,1.13713,0.0091684,0.0091684,0.0091684
86,1423.12,0.53559,0.35206,0.90102,0.52665,0.58,0.58561,0.32456,1.05832,4.11474,1.20473,0.0091585,0.0091585,0.0091585
87,1439.28,0.54278,0.35653,0.90941,0.58752,0.50796,0.58284,0.33579,1.02418,4.12648,1.16308,0.0091486,0.0091486,0.0091486
88,1454.23,0.53987,0.35557,0.90686,0.57374,0.52,0.55115,0.32734,1.1025,4.17902,1.20086,0.0091387,0.0091387,0.0091387
89,1468.86,0.54155,0.35833,0.91064,0.54812,0.58615,0.58987,0.31494,0.95851,4.28849,1.18243,0.0091288,0.0091288,0.0091288
90,1483.5,0.54747,0.36046,0.90759,0.57601,0.57633,0.56917,0.32556,0.98749,4.16663,1.17492,0.0091189,0.0091189,0.0091189
91,1498.55,0.54128,0.35085,0.91374,0.57663,0.51012,0.55764,0.33417,0.94003,4.04894,1.14319,0.009109,0.009109,0.009109
92,1514.47,0.53254,0.35001,0.90412,0.58591,0.52,0.58207,0.33791,0.9818,4.11098,1.17507,0.0090991,0.0090991,0.0090991
93,1530.42,0.54612,0.36128,0.90239,0.53175,0.55801,0.55596,0.29971,1.06929,4.28177,1.17127,0.0090892,0.0090892,0.0090892
94,1549.94,0.53356,0.35238,0.90628,0.55464,0.55029,0.56654,0.32151,1.05204,4.0867,1.20074,0.0090793,0.0090793,0.0090793
95,1566.41,0.53422,0.35497,0.90505,0.57325,0.55284,0.56754,0.32294,0.97105,4.25997,1.15405,0.0090694,0.0090694,0.0090694
96,1582.23,0.54064,0.35689,0.9114,0.54296,0.54667,0.55049,0.32518,0.93873,4.24762,1.15927,0.0090595,0.0090595,0.0090595
97,1601.31,0.52598,0.34655,0.90321,0.55162,0.54516,0.53081,0.28185,0.95529,4.24344,1.1788,0.0090496,0.0090496,0.0090496
98,1621.96,0.52598,0.35103,0.90289,0.53756,0.58428,0.57725,0.31277,0.90207,4.17711,1.15575,0.0090397,0.0090397,0.0090397
99,1644.28,0.52968,0.3509,0.90592,0.59512,0.52717,0.57366,0.33006,1.02448,4.19685,1.18935,0.0090298,0.0090298,0.0090298
100,1662.68,0.52499,0.34568,0.90269,0.58592,0.49778,0.56787,0.31645,1.02333,4.26484,1.19332,0.0090199,0.0090199,0.0090199
101,1685.22,0.524,0.34608,0.89732,0.58141,0.53333,0.57038,0.32774,0.995,4.27663,1.15583,0.00901,0.00901,0.00901
102,1708.83,0.51638,0.34088,0.8992,0.57644,0.51867,0.54924,0.31007,1.11847,4.14164,1.19336,0.0090001,0.0090001,0.0090001
103,1724.42,0.52858,0.351,0.90514,0.58826,0.52889,0.57346,0.30713,1.15699,4.06369,1.20724,0.0089902,0.0089902,0.0089902
104,1741.54,0.52979,0.35044,0.90671,0.59449,0.53215,0.56479,0.31124,1.13687,4.00426,1.22894,0.0089803,0.0089803,0.0089803
105,1756.67,0.51871,0.34325,0.89597,0.58087,0.51111,0.54012,0.2965,1.09796,4.21255,1.21061,0.0089704,0.0089704,0.0089704
106,1771.73,0.5061,0.33536,0.89701,0.54148,0.49138,0.55529,0.3257,1.13903,4.29407,1.19688,0.0089605,0.0089605,0.0089605
107,1787.11,0.5063,0.33437,0.89603,0.5897,0.53333,0.57849,0.3359,1.05073,4.01756,1.1922,0.0089506,0.0089506,0.0089506
108,1808.36,0.51964,0.33824,0.90158,0.56001,0.53333,0.57319,0.33613,1.01374,4.04531,1.20609,0.0089407,0.0089407,0.0089407
109,1825.23,0.5199,0.34352,0.89541,0.56309,0.50318,0.55622,0.29518,1.20119,4.08736,1.22872,0.0089308,0.0089308,0.0089308
110,1841.72,0.51152,0.33521,0.8954,0.58647,0.52238,0.56961,0.31791,1.08072,3.98285,1.19026,0.0089209,0.0089209,0.0089209
111,1859.59,0.51744,0.34031,0.89783,0.57389,0.51727,0.54958,0.30827,0.96319,3.93869,1.15992,0.008911,0.008911,0.008911
112,1876.3,0.50095,0.33499,0.88886,0.554,0.51696,0.54679,0.30151,0.95433,4.15623,1.1651,0.0089011,0.0089011,0.0089011
113,1892.43,0.51799,0.3414,0.89773,0.56997,0.51111,0.54282,0.28909,0.99668,4.16082,1.17343,0.0088912,0.0088912,0.0088912
114,1909.64,0.50717,0.33284,0.89492,0.55655,0.50849,0.5261,0.28404,1.03803,4.11039,1.17568,0.0088813,0.0088813,0.0088813
115,1925.03,0.50561,0.33478,0.89604,0.58582,0.52889,0.55615,0.3269,0.98115,4.16365,1.15564,0.0088714,0.0088714,0.0088714
